modelo,preço,loja
"Celular Samsung Galaxy S24 FE 5G 128GB 8GB RAM Tela 6.7"" Galaxy AI","de R$ 4.999,00",casas bahia
"Celular Samsung Galaxy S24+, 256GB, 12GB de RAM, Tela de 6.7"", Galaxy AI - Violeta","de R$ 4.899,00",casas bahia
"Smartphone Motorola Moto g05 Cinza Vegan Leather 128GB 4GB RAM + 8GB Ram Boost e Camera 50MP com AI Bateria de 5200 mAh Tela 6.7"" e Superbrilho","de R$ 854,34",casas bahia
"Smartphone Motorola Moto g15 Grafite 256GB 4GB RAM+8GB Ram Boost e Camera 50MP com AI e Night Vision, 5.200mAh Tela FHD+ 6.7"" Superbrilho e NFC","de R$ 1.318,90",casas bahia
"Smartphone Samsung Galaxy A06 Azul Escuro 4G 128GB 4GB RAM Tela 6,7"" Processador Octa-Core, Câmera Traseira de 50MP e Selfie de 8MP","de R$ 976,56",casas bahia
"Smartphone Samsung Galaxy A15 4G Azul Escuro 128GB, 4GB RAM, Processador Octa-Core, Câmera Tripla Traseira, Selfie de 13MP, Tela Infinita de 6.5"" 90Hz","de R$ 1.098,90",casas bahia
"Smartphone Samsung Galaxy A56 5G Preto 128GB, 8GB RAM, Câmera Tripla até 50MP, Tela Super AMOLED 6.7"", IP67, NFC, Vídeo HDR e Recursos AI","de R$ 2.799,00",casas bahia
"Smartphone Samsung Galaxy A06 Branco 4G 128GB 4GB RAM Tela 6,7"" Processador Octa-Core, Câmera Traseira de 50MP e Selfie de 8MP","de R$ 933,90",casas bahia
"Smartphone Motorola g15 Verde 256GB, 4GB RAM + 8GB Ram Boost e Camera 50MP com AI e Night Vision, 5.200mAh Tela FHD+ 6.7"" Superbrilho e NFC","de R$ 1.318,90",casas bahia
"Smartphone Motorola Moto g35 5G Cinza 256GB 4GB RAM + 8GB Ram Boost e Camera 50MP com AI NFC Tela 6.7"" com Superbrilho","de R$ 1.428,90",casas bahia
"Smartphone Samsung Galaxy S24 FE 5G Grafite 128GB, 8GB RAM, Galaxy AI, Câmera Traseira 50MP, Tela 6.7"" 60-120Hz, IP68 e Processador Exynos 2400e","de R$ 3.421,00",casas bahia
"Smartphone Samsung Galaxy A16 Preto, 256GB, 8GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh e Processador Helio G99","de R$ 1.587,66",casas bahia
"Smartphone Samsung Galaxy A16 Cinza, 128GB, 4GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh e Processador Helio G99","de R$ 1.318,78",casas bahia
"Smartphone Samsung Galaxy A56 5G Preto 256GB 8GB RAM, Câmera Tripla até 50MP, Tela Super AMOLED 6.7"", IP67, NFC, Vídeo HDR e Recursos AI","de R$ 3.298,78",casas bahia
"Smartphone Motorola Moto g05 Violeta Vegan Leather 128GB 4GB RAM + 8GB Ram Boost e Camera 50MP, AI Bateria de 5200 mAh Tela 6.7"" e Superbrillho","de R$ 854,34",casas bahia
"Smartphone Samsung Galaxy S24 FE 5G Cinza 128GB, 8GB RAM, Galaxy AI, Câmera Traseira 50MP, Tela 6.7"" 60-120Hz, IP68 e Processador Exynos 2400e","de R$ 3.298,90",casas bahia
"Celular Samsung Galaxy A26 5G 256GB, 8GB RAM, Câmera de 50MP, IP67, Tela Super AMOLED 6.7"", NFC - Branco","de R$ 2.299,00",casas bahia
"Celular Samsung Galaxy A06, 128GB, 4GB RAM, Tela 6.7"", Câm. Traseira 50+2MP, Frontal 8MP - Verde Claro","de R$ 849,00",casas bahia
"Smartphone Motorola Moto g55 5G Preto 256GB, 8GB RAM + 8GB RAM Boost, Câmera Traseira de até 50MP com AI, NFC e Tela 6.5"" com Superbrilho","de R$ 1.665,56",casas bahia
"Smartphone Motorola Moto g75 Azul 5G 256GB, 8GB RAM + 8GB RAM Boost, 50MP Sony Lytia 600 Câmera Moto AI Ultrarresistência Militar","de R$ 2.088,90",casas bahia
